complaint_id,timestamp,customer_id,channel,region,branch,product,language,complaint_text,category_label
CMP-00001,2026-05-03T23:07,CUST-2679,Social Media,North,Jaipur MI Road,UPI,English,"Unauthorized transaction detected on my account, please block immediately.",Fraud/Security
CMP-00002,2026-05-03T23:52,CUST-4257,Social Media,West,Lucknow Hazratganj,UPI,Marathi,My UPI payment of Rs 14828 failed but amount got debited. This issue has been repeated multiple times and still unresolved.,UPI/Payments
CMP-00003,2026-05-04T00:37,CUST-4527,Chat,North,Mumbai Main,UPI,English,Loan EMI auto-debit failed despite sufficient balance.,Loan/Credit
CMP-00004,2026-05-04T01:22,CUST-7201,Email,Central,Bengaluru MG Road,Internet Banking,Marathi,Personal loan closure not updated and extra interest charged.,Loan/Credit
CMP-00005,2026-05-04T02:07,CUST-5741,Email,South,Mumbai Main,UPI,Hindi,Credit score impacted due to incorrect overdue on loan account.,Loan/Credit
CMP-00006,2026-05-04T02:52,CUST-5374,Email,Central,Lucknow Hazratganj,Loan,Marathi,Net banking page times out while downloading statement.,Internet Banking
CMP-00007,2026-05-04T03:37,CUST-6313,Email,South,Mumbai Main,Credit Card,Hindi,ATM debited cash but did not dispense money at Jaipur MI Road.,Cards/ATM
CMP-00008,2026-05-04T04:22,CUST-7482,Call Center,South,Bengaluru MG Road,Current,English,Loan EMI auto-debit failed despite sufficient balance.,Loan/Credit
CMP-00009,2026-05-04T05:07,CUST-7543,Chat,South,Lucknow Hazratganj,Loan,Hindi,Suspicious login alert came from unknown location.,Fraud/Security
CMP-00010,2026-05-04T05:52,CUST-7304,Call Center,Central,Pune Camp,Loan,Hindi,My UPI payment of Rs 7685 failed but amount got debited.,UPI/Payments
CMP-00011,2026-05-04T06:37,CUST-6573,Email,East,Pune Camp,Current,Hindi,Address update request pending for 5 days.,Account Services
CMP-00012,2026-05-04T07:22,CUST-2743,Chat,Central,Jaipur MI Road,Current,English,Beneficiary not receiving money even after successful status.,UPI/Payments
CMP-00013,2026-05-04T08:07,CUST-1319,Email,East,Bengaluru MG Road,Current,English,Loan EMI auto-debit failed despite sufficient balance.,Loan/Credit
CMP-00014,2026-05-04T08:52,CUST-9727,Branch,South,Pune Camp,Loan,English,Card blocked without notice and merchant payment failed.,Cards/ATM
CMP-00015,2026-05-04T09:37,CUST-4295,Chat,West,Bengaluru MG Road,UPI,Marathi,Credit score impacted due to incorrect overdue on loan account.,Loan/Credit
CMP-00016,2026-05-04T10:22,CUST-4770,Social Media,South,Mumbai Main,Savings,Marathi,Unable to login to internet banking since yesterday. This issue has been repeated multiple times and still unresolved.,Internet Banking
CMP-00017,2026-05-04T11:07,CUST-4899,Chat,West,Lucknow Hazratganj,Loan,English,"Unauthorized transaction detected on my account, please block immediately. This issue has been repeated multiple times and still unresolved.",Fraud/Security
CMP-00018,2026-05-04T11:52,CUST-4119,Email,North,Pune Camp,Credit Card,Hindi,Suspicious login alert came from unknown location.,Fraud/Security
CMP-00019,2026-05-04T12:37,CUST-6559,Email,South,Lucknow Hazratganj,Current,Marathi,Password reset link keeps failing with server error.,Internet Banking
CMP-00020,2026-05-04T13:22,CUST-2235,Call Center,Central,Mumbai Main,Savings,Marathi,Unable to login to internet banking since yesterday.,Internet Banking
CMP-00021,2026-05-04T14:07,CUST-4502,Call Center,North,Lucknow Hazratganj,UPI,English,Address update request pending for 7 days.,Account Services
CMP-00022,2026-05-04T14:52,CUST-8973,Branch,South,Bengaluru MG Road,Current,English,Password reset link keeps failing with server error.,Internet Banking
CMP-00023,2026-05-04T15:37,CUST-8811,Social Media,Central,Lucknow Hazratganj,Savings,Marathi,Account statement email not received despite request. This issue has been repeated multiple times and still unresolved.,Account Services
CMP-00024,2026-05-04T16:22,CUST-5033,Social Media,Central,Mumbai Main,Loan,English,My UPI payment of Rs 4990 failed but amount got debited.,UPI/Payments
CMP-00025,2026-05-04T17:07,CUST-4346,Chat,South,Bengaluru MG Road,UPI,English,Net banking page times out while downloading statement.,Internet Banking
CMP-00026,2026-05-04T17:52,CUST-2638,Email,Central,Lucknow Hazratganj,Loan,Hindi,Suspicious login alert came from unknown location. This issue has been repeated multiple times and still unresolved.,Fraud/Security
CMP-00027,2026-05-04T18:37,CUST-9900,Chat,Central,Jaipur MI Road,Savings,Marathi,Credit card payment posted twice and statement is incorrect.,Cards/ATM
CMP-00028,2026-05-04T19:22,CUST-2753,Social Media,South,Bengaluru MG Road,Credit Card,Marathi,Cheque book request not processed and no tracking available.,Account Services
CMP-00029,2026-05-04T20:07,CUST-1832,Email,West,Bengaluru MG Road,Savings,English,Card blocked without notice and merchant payment failed.,Cards/ATM
CMP-00030,2026-05-04T20:52,CUST-8007,Social Media,North,Mumbai Main,Savings,Marathi,Loan EMI auto-debit failed despite sufficient balance.,Loan/Credit
CMP-00031,2026-05-04T21:37,CUST-3088,Email,East,Bengaluru MG Road,Savings,Hindi,Card blocked without notice and merchant payment failed.,Cards/ATM
CMP-00032,2026-05-04T22:22,CUST-7658,Social Media,South,Lucknow Hazratganj,Current,English,Card blocked without notice and merchant payment failed.,Cards/ATM
CMP-00033,2026-05-04T23:07,CUST-2771,Call Center,North,Pune Camp,Current,English,Unable to login to internet banking since yesterday.,Internet Banking
CMP-00034,2026-05-04T23:52,CUST-7528,Chat,East,Mumbai Main,Credit Card,Hindi,Password reset link keeps failing with server error.,Internet Banking
CMP-00035,2026-05-05T00:37,CUST-2889,Chat,South,Jaipur MI Road,Credit Card,English,Suspicious login alert came from unknown location.,Fraud/Security
CMP-00036,2026-05-05T01:22,CUST-9379,Email,West,Jaipur MI Road,Current,Hindi,Beneficiary not receiving money even after successful status.,UPI/Payments
CMP-00037,2026-05-05T02:07,CUST-4228,Chat,West,Mumbai Main,Internet Banking,Hindi,Beneficiary not receiving money even after successful status.,UPI/Payments
CMP-00038,2026-05-05T02:52,CUST-7691,Chat,West,Bengaluru MG Road,Loan,English,Cheque book request not processed and no tracking available.,Account Services
CMP-00039,2026-05-05T03:37,CUST-7653,Social Media,North,Bengaluru MG Road,Credit Card,English,Credit card payment posted twice and statement is incorrect.,Cards/ATM
CMP-00040,2026-05-05T04:22,CUST-4501,Social Media,West,Lucknow Hazratganj,Internet Banking,English,Net banking page times out while downloading statement.,Internet Banking
CMP-00041,2026-05-05T05:07,CUST-4848,Chat,South,Lucknow Hazratganj,Current,English,Credit score impacted due to incorrect overdue on loan account.,Loan/Credit
CMP-00042,2026-05-05T05:52,CUST-4185,Call Center,West,Pune Camp,Current,English,My UPI payment of Rs 31638 failed but amount got debited.,UPI/Payments
CMP-00043,2026-05-05T06:37,CUST-9486,Call Center,North,Jaipur MI Road,Current,English,Suspicious login alert came from unknown location.,Fraud/Security
CMP-00044,2026-05-05T07:22,CUST-8251,Social Media,Central,Pune Camp,Loan,Hindi,Unable to login to internet banking since yesterday.,Internet Banking
CMP-00045,2026-05-05T08:07,CUST-5543,Social Media,West,Lucknow Hazratganj,Credit Card,Hindi,Card blocked without notice and merchant payment failed.,Cards/ATM
CMP-00046,2026-05-05T08:52,CUST-9849,Email,South,Lucknow Hazratganj,Current,Hindi,Beneficiary not receiving money even after successful status.,UPI/Payments
CMP-00047,2026-05-05T09:37,CUST-9890,Call Center,West,Mumbai Main,Current,Hindi,"Unauthorized transaction detected on my account, please block immediately.",Fraud/Security
CMP-00048,2026-05-05T10:22,CUST-6763,Chat,West,Pune Camp,Loan,Marathi,Net banking page times out while downloading statement.,Internet Banking
CMP-00049,2026-05-05T11:07,CUST-8956,Email,West,Bengaluru MG Road,Internet Banking,Marathi,Suspicious login alert came from unknown location.,Fraud/Security
CMP-00050,2026-05-05T11:52,CUST-7455,Social Media,Central,Mumbai Main,Savings,Marathi,Net banking page times out while downloading statement.,Internet Banking
CMP-00051,2026-05-05T12:37,CUST-4467,Call Center,East,Bengaluru MG Road,UPI,Hindi,Unable to login to internet banking since yesterday.,Internet Banking
CMP-00052,2026-05-05T13:22,CUST-6733,Branch,North,Mumbai Main,Savings,English,Password reset link keeps failing with server error. This issue has been repeated multiple times and still unresolved.,Internet Banking
CMP-00053,2026-05-05T14:07,CUST-2874,Social Media,South,Pune Camp,Internet Banking,Hindi,ATM debited cash but did not dispense money at Lucknow Hazratganj.,Cards/ATM
CMP-00054,2026-05-05T14:52,CUST-2771,Social Media,North,Bengaluru MG Road,Loan,Marathi,Loan EMI auto-debit failed despite sufficient balance.,Loan/Credit
CMP-00055,2026-05-05T15:37,CUST-4978,Email,East,Jaipur MI Road,Savings,Marathi,Password reset link keeps failing with server error.,Internet Banking
CMP-00056,2026-05-05T16:22,CUST-6590,Email,West,Pune Camp,Savings,Hindi,Transaction pending for more than 29 hours in UPI app.,UPI/Payments
CMP-00057,2026-05-05T17:07,CUST-9548,Chat,Central,Jaipur MI Road,UPI,Hindi,Credit score impacted due to incorrect overdue on loan account.,Loan/Credit
CMP-00058,2026-05-05T17:52,CUST-2419,Chat,West,Lucknow Hazratganj,UPI,Marathi,Net banking page times out while downloading statement.,Internet Banking
CMP-00059,2026-05-05T18:37,CUST-3979,Call Center,South,Bengaluru MG Road,Credit Card,Hindi,Account statement email not received despite request.,Account Services
